"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
81,Bahrain,"625,856",,"1,492 ",,"610,009",,"14,355",10,"344,010",820,"10,023,269","5,509,419"
82,Myanmar,"613,596",,"19,434 ",,"592,561",,"1,601",,"11,129",352,"8,372,646","151,855"
83,Dominican Republic,"605,784",,"4,383 ",,"598,698",,"2,703",26,"54,750",396,"3,481,454","314,652"
84,Palestine,"584,243",,"5,356 ",,"577,938",,949,17,"109,461","1,003","3,078,533","576,777"
85,Estonia,"580,114",,"2,591 ",,"522,265",,"55,258",3,"436,731","1,951","3,408,629","2,566,138"
86,Venezuela,"526,214",,"5,733 ",,"518,601",,"1,880",33,"18,610",203,"3,359,014","118,795"
87,Moldova,"520,321",,"11,567 ",,"504,142",,"4,612",49,"129,584","2,881","3,216,305","801,011"
88,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,856",232,"3,693,367","34,785"
89,Cyprus,"504,717",,"1,072 ",,"124,370",,"379,275",60,"412,063",875,"9,477,138","7,737,355"
90,Libya,"502,138",,"6,430 ",,"490,973",,"4,735",101,"71,152",911,"2,477,219","351,015"
91,Ethiopia,"488,724",,"7,536  ",,"461,705",,"19,483",57,"4,051",62,"5,057,953","41,929"
92,Honduras,"427,355",,"10,906 ",,"132,498",,"283,951",105,"41,823","1,067","1,401,268","137,134"
93,Armenia,"423,243",,"8,629 ",,"412,661",,"1,953",,"142,302","2,901","3,109,931","1,045,613"
94,Réunion,"422,769",,812 ,,"418,572",,"3,385",10,"465,589",894,"1,603,660","1,766,085"
95,Oman,"390,244",,"4,260 ",,"384,669",,"1,315",2,"72,737",794,"25,000,000","4,659,710"
96,Qatar,"382,635",,679 ,,"376,869",,"5,087",1,"136,275",242,"3,648,679","1,299,477"
97,Bosnia and Herzegovina,"378,716",,"15,806 ",,N/A,N/A,N/A,,"116,880","4,878","1,791,698","552,956"
98,Kenya,"333,694",,"5,652 ",,"323,953",,"4,089",5,"5,945",101,"3,756,995","66,935"
99,Zambia,"325,857",,"4,006 ",,"320,594",,"1,257",1,"16,789",206,"3,552,848","183,054"
100,Botswana,"322,769",,"2,750 ",,"315,668",,"4,351",1,"131,950","1,124","2,026,898","828,609"
101,North Macedonia,"314,018",,"9,325 ",,"303,893",,800,,"150,738","4,476","2,071,401","994,334"
102,Albania,"280,851",,"3,500 ",,"274,463",,"2,888",,"97,805","1,219","1,849,065","643,927"
103,Algeria,"266,087",,"6,875 ",,"178,537",,"80,675",6,"5,857",151,"230,861","5,082"
104,Luxembourg,"263,167",,"1,094 ",,"251,249",,"10,824",,"407,221","1,693","4,307,055","6,664,678"
105,Nigeria,"257,290",,"3,144 ",,"250,229",,"3,917",11,"1,189",15,"5,279,608","24,408"
106,Zimbabwe,"255,586",,"5,555 ",,"248,664",,"1,367",12,"16,712",363,"2,395,257","156,618"
107,Uzbekistan,"240,764",,"1,637 ",,"238,051",,"1,076",23,"6,992",48,"1,377,915","40,015"
108,Montenegro,"240,222",,"2,729  ",,"235,960",,"1,533",6,"382,383","4,344","2,496,793","3,974,367"
109,Mozambique,"227,919",,"2,212 ",,"225,314",,393,13,"6,907",67,"1,348,165","40,855"
110,Laos,"210,297",+5,757 ,,N/A,N/A,N/A,,"28,093",101,"1,233,207","164,741"
111,Kyrgyzstan,"201,053",,"2,991 ",,"196,406",,"1,656",131,"29,837",444,"1,907,195","283,031"
112,Iceland,"193,987",,153 ,,N/A,N/A,N/A,1,"561,221",443,"1,969,022","5,696,545"
113,Martinique,"192,506",,957 ,,104,,"191,445",8,"513,780","2,554","828,928","2,212,327"
114,Afghanistan,"182,594",+34,"7,723 ",,"164,642",+2,"10,229","1,124","4,489",190,"1,003,979","24,684"
115,Maldives,"181,586",,305 ,,"163,687",,"17,594",25,"324,553",545,"2,213,831","3,956,831"
116,El Salvador,"169,646",,"4,144 ",,"159,993",,"5,509",8,"25,895",633,"2,284,873","348,764"
117,Namibia,"169,179",,"4,064 ",,"164,680",,435,,"64,265","1,544","1,060,815","402,968"
118,Guadeloupe,"168,714",,955 ,,"2,250",,"165,509",19,"421,511","2,386","938,039","2,343,574"
119,Uganda,"167,719",,"3,621 ",,"100,401",,"63,697",18,"3,450",74,"2,767,585","56,927"
120,Trinidad and Tobago,"167,097",,"4,011 ",,"156,766",,"6,320",18,"118,634","2,848","772,885","548,726"
121,Ghana,"166,133",,"1,450 ",,"163,141",,"1,542",1,"5,133",45,"2,474,735","76,465"
122,Brunei ,"163,055",,225 ,,"157,667",,"5,163",1,"365,743",505,"717,784","1,610,038"
123,Jamaica,"142,804",,"3,128 ",,"90,986",,"48,690",,"47,810","1,047","1,129,527","378,161"
124,Cambodia,"136,282",+3,"3,056 ",,"133,206",,20,,"7,933",178,"2,989,710","174,027"
125,Rwanda,"131,021",,"1,460 ",,"45,522",,"84,039",,"9,640",107,"5,561,436","409,191"
126,Cameroon,"120,068",,"1,931 ",,"117,791",,346,13,"4,310",69,"1,751,774","62,875"
127,Malta,"103,132",,741 ,,"95,764",,"6,627",4,"232,340","1,669","1,965,407","4,427,749"
128,Angola,"99,761",,"1,900 ",,"97,149",,712,,"2,858",54,"1,499,795","42,973"
129,DRC,"91,082",,"1,371 ",,"50,930",,"38,781",,959,14,"846,704","8,914"
130,French Guiana,"88,362",,401  ,,"11,254",,"76,707",1,"281,325","1,277","644,972","2,053,449"
131,Malawi,"86,506",,"2,645 ",,"83,088",,773,67,"4,301",132,"592,404","29,452"
132,Senegal,"86,325",,"1,968 ",,"84,322",,35,,"4,899",112,"1,114,823","63,262"
133,Barbados,"84,421",,477 ,,"82,677",,"1,267",,"293,052","1,656","704,874","2,446,842"
134,Ivory Coast,"83,463",,805 ,,"82,170",,488,,"3,015",29,"1,550,541","56,020"
135,Channel Islands,"80,990",,179 ,,"78,583",,"2,228",,"457,434","1,011","1,252,808","7,075,893"
136,Suriname,"80,864",,"1,369 ",,"49,575",,"29,920",,"135,429","2,293","238,016","398,623"
137,French Polynesia,"73,268",,649 ,,N/A,N/A,N/A,7,"257,859","2,284",,
138,Eswatini,"73,109",,"1,416 ",,"71,636",,57,11,"61,743","1,196","1,036,119","875,044"
139,Guyana,"67,395",,"1,254 ",,"65,292",,849,,"84,869","1,579","659,877","830,967"
140,Fiji,"65,713",,866 ,,"63,690",,"1,157",,"72,262",952,"567,192","623,716"
141,Madagascar,"65,381",,"1,398 ",,"63,286",,697,6,"2,246",48,"464,751","15,966"
142,New Caledonia,"64,201",,313 ,,"62,842",,"1,046",9,"220,651","1,076","98,964","340,127"
143,Belize,"63,966",,680 ,,"62,284",,"1,002",6,"155,258","1,650","576,016","1,398,107"
144,Sudan,"62,624",,"4,951 ",,N/A,N/A,N/A,,"1,365",108,"562,941","12,268"
145,Cabo Verde,"60,542",,405 ,,"58,885",,"1,252",23,"106,586",713,"401,416","706,707"
146,Mauritania,"59,814",,983 ,,"58,306",,525,,"12,225",201,"866,641","177,121"
147,Bhutan,"59,729",,21 ,,"59,657",,51,,"75,748",27,"2,303,734","2,921,585"
148,Syria,"55,927",,"3,150 ",,"52,758",,19,,"3,048",172,"146,269","7,972"
149,Gabon,"47,939",,305 ,,"47,353",,281,,"20,572",131,"1,602,857","687,841"
150,Papua New Guinea,"44,717",,662 ,,"43,982",,73,7,"4,816",71,"249,149","26,835"
151,Seychelles,"44,521",,167 ,,"43,905",,449,,"447,182","1,677",,
152,Curaçao,"44,127",,277 ,,"43,567",,283,3,"266,743","1,674","496,693","3,002,454"
153,Andorra,"43,774",,153 ,,"43,192",,429,14,"564,746","1,974","249,838","3,223,259"
154,Burundi,"42,542",,38 ,,N/A,N/A,N/A,,"3,378",3,"345,742","27,449"
155,Aruba,"40,595",,221 ,,"39,905",,469,1,"377,039","2,053","177,885","1,652,162"
156,Mauritius,"38,427",,"1,002 ",,"36,692",,733,,"30,116",785,"358,675","281,100"
157,Mayotte,"37,523",,187 ,,"2,964",,"34,372",,"131,237",654,"176,919","618,777"
158,Togo,"37,403",,275 ,,"37,028",,100,,"4,317",32,"752,898","86,890"
159,Guinea,"36,597",,442 ,,"36,113",,42,8,"2,644",32,"660,107","47,689"
160,Isle of Man,"36,463",,108 ,,"26,794",,"9,561",,"424,339","1,257","150,753","1,754,390"
161,Bahamas,"35,975",,817 ,,"34,329",,829,,"89,775","2,039","241,422","602,465"
162,Tanzania,"35,768",,841 ,,N/A,N/A,N/A,7,567,13,,
163,Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"703,973",569,"778,000","15,802,730"
164,Lesotho,"33,938",,699 ,,"24,155",,"9,084",,"15,596",321,"431,221","198,166"
165,Haiti,"31,550",,837 ,,"29,862",,851,,"2,701",72,"132,422","11,338"
166,Mali,"31,165",,737 ,,"30,334",,94,,"1,456",34,"701,319","32,754"
167,Benin,"27,216",,163 ,,"25,506",,"1,547",5,"2,134",13,"604,310","47,377"
168,Cayman Islands,"27,171",,28 ,,"8,553",,"18,590",1,"403,982",416,"222,773","3,312,216"
169,Saint Lucia,"27,022",,383 ,,"26,513",,126,,"145,830","2,067","209,290","1,129,478"
170,Somalia,"26,803",,"1,350 ",,"13,182",,"12,271",,"1,598",80,"400,466","23,872"
171,Congo,"24,128",,385 ,,"20,178",,"3,565",,"4,168",67,"347,815","60,088"
172,Timor-Leste,"22,957",,133 ,,"22,809",,15,,"16,776",97,"269,989","197,298"
173,Solomon Islands,"21,237",,149 ,,"16,357",,"4,731",1,"29,479",207,"5,117","7,103"
174,Burkina Faso,"20,853",,382 ,,"20,439",,32,,946,17,"248,995","11,295"
175,Gibraltar,"19,633",,104 ,,"16,579",,"2,950",,"583,083","3,089","534,283","15,867,750"
176,Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,727",33,,
177,Grenada,"18,357",,232 ,,"17,972",,153,4,"161,649","2,043","170,909","1,504,997"
178,San Marino,"18,016",,115 ,,"17,489",,412,4,"528,747","3,375","152,231","4,467,790"
179,Liechtenstein,"17,903",,85 ,,"17,671",,147,,"466,881","2,217","102,174","2,664,528"
180,Tajikistan,"17,786",,125 ,,"17,264",,397,,"1,785",13,,
181,South Sudan,"17,722",,138 ,,"15,630",,"1,954",1,"1,547",12,"410,280","35,817"
182,Bermuda,"16,162",,140 ,,"15,793",,229,,"261,436","2,265","950,858","15,381,074"
183,Equatorial Guinea,"16,034",,183 ,,"15,742",,109,5,"10,727",122,"338,231","226,283"
184,Djibouti,"15,690",,189 ,,"15,427",,74,,"15,434",186,"305,941","300,945"
185,Samoa,"14,906",,29 ,,"1,605",,"13,272",4,"74,145",144,"155,081","771,401"
186,Dominica,"14,852",,68 ,,"14,554",,230,,"205,303",940,"210,195","2,905,574"
187,CAR,"14,649",,113 ,,"6,859",,"7,677",2,"2,932",23,"81,294","16,269"
188,Monaco,"13,006",,57 ,,"12,703",,246,4,"326,817","1,432","77,770","1,954,217"
189,Tonga,"12,301",,12 ,,"12,120",,169,,"113,814",111,"535,009","4,950,120"
190,Gambia,"12,002",,365 ,,"11,591",,46,,"4,703",143,"155,686","61,010"
191,Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"210,143",369,"164,926","2,895,166"
192,Yemen,"11,824",,"2,149 ",,"9,108",,567,23,380,69,"265,253","8,520"
193,Vanuatu,"11,266",,14 ,,"11,155",,97,,"35,049",44,"24,976","77,702"
194,Saint Martin,"10,668",,63 ,,"1,399",,"9,206",7,"266,840","1,576","112,382","2,811,026"
195,Sint Maarten,"10,580",,86 ,,"10,459",,35,10,"241,305","1,961","62,056","1,415,350"
196,Caribbean Netherlands,"10,391",,35 ,,"10,272",,84,,"389,059","1,310","30,126","1,127,977"
197,Eritrea,"9,799",,103 ,,"9,683",,13,,"2,689",28,"23,693","6,502"
198,Niger,"9,031",,310 ,,"8,628",,93,1,348,12,"254,538","9,809"
